latitude,longitude
40.77998,-122.13467
40.78076,-122.13926
40.78403,-122.13831
40.79287,-122.14996
40.78458,-122.13499
40.78498,-122.13444
40.82172,-122.05559
40.82249,-122.06018
40.82931,-122.03934
40.82983,-122.06288
40.83007,-122.04392
40.83311,-122.06193
40.83414,-122.04755
40.83488,-122.05204
40.83564,-122.05653
40.83818,-122.05116
40.83893,-122.05564
40.83968,-122.0601
40.84147,-122.05025
40.84223,-122.05476
40.84298,-122.05923
40.84552,-122.05387
40.84627,-122.05832
40.84702,-122.06279
40.84778,-122.06732
40.84955,-122.0574
40.8503,-122.06184
40.85106,-122.06637
40.85358,-122.06087
40.85434,-122.06541
41.25877,-123.36008
41.25947,-123.36459
41.26017,-123.36912
41.26088,-123.37368
41.26204,-123.3592
41.26274,-123.36371
41.26344,-123.36823
41.26414,-123.37278
41.2653,-123.35832
41.266,-123.36283
41.2667,-123.36734
41.26741,-123.37189
41.26787,-123.35296
41.26812,-123.37646
41.26857,-123.35747
41.26927,-123.36197
41.26997,-123.36647
41.27067,-123.371
41.27114,-123.3521
41.27139,-123.37556
41.27185,-123.35661
41.2728,-123.38467
41.27394,-123.37012
41.27442,-123.35123
41.27465,-123.37469
41.27537,-123.37926
41.27607,-123.38379
41.27651,-123.36475
41.27721,-123.36927
41.2774,-123.32674
41.27768,-123.35035
41.27811,-123.33129
41.27839,-123.3549
41.27864,-123.37838
41.27882,-123.33582
41.27925,-123.31679
41.27934,-123.38291
41.27953,-123.34039
41.27995,-123.32128
41.28025,-123.34492
41.28065,-123.32583
41.28095,-123.34947
41.28137,-123.33036
41.28166,-123.354
41.28208,-123.33492
41.28279,-123.33946
41.2832,-123.32037
41.2835,-123.34402
41.28391,-123.32491
41.28421,-123.34854
41.28463,-123.32946
41.28492,-123.3531
41.28534,-123.334
41.28605,-123.33855
41.28647,-123.31947
41.28676,-123.34309
41.28717,-123.32401
41.28747,-123.34764
41.28789,-123.32856
41.28818,-123.35219
41.2886,-123.33311
41.28931,-123.33765
41.29002,-123.34221
41.29258,-123.33677
41.2933,-123.34132
41.28133,-123.31718
63.34587,-141.84926
63.3469,-141.85754
63.35028,-141.85558
63.35467,-141.86189
63.35601,-141.84354
63.35701,-141.85162
63.35803,-141.85983
63.35905,-141.86806
63.36038,-141.84961
63.36139,-141.85779
63.36241,-141.866
27.05828,-80.2057
27.06229,-80.20668
27.06257,-80.20628
27.06707,-80.20368
27.06738,-80.20329
27.06784,-80.1997
27.06817,-80.19933
27.07139,-80.20427
27.07218,-80.2003
27.05828,-80.2057
27.06229,-80.20668
27.06257,-80.20628
27.06707,-80.20368
27.06738,-80.20329
27.06784,-80.1997
27.06817,-80.19933
27.07139,-80.20427
27.07218,-80.2003
27.68869,-80.91253
27.68869,-80.91253
27.68944,-80.92326
27.68944,-80.92326
27.69028,-80.91898
27.69028,-80.91898
27.69108,-80.9221
27.69108,-80.9221
27.69113,-80.91473
27.69113,-80.91473
27.69195,-80.91783
27.69195,-80.91783
19.40238,-155.28026
19.40294,-155.28391
19.4035,-155.28754
19.40406,-155.29115
19.40456,-155.2724
19.40512,-155.27605
19.40568,-155.27968
19.40624,-155.28333
19.4068,-155.28696
19.40736,-155.29057
19.40785,-155.27184
19.40841,-155.27548
19.40897,-155.27911
19.40953,-155.28275
19.41009,-155.28639
19.41059,-155.26764
19.41065,-155.29001
19.41115,-155.27127
19.41171,-155.27492
19.41227,-155.27856
19.41283,-155.2822
19.41339,-155.28581
19.41445,-155.27071
19.415,-155.27435
19.41557,-155.27798
45.08724,-114.85798
45.08733,-114.84071
45.09275,-114.8576
45.09287,-114.8454
45.09421,-114.85383
45.09975,-114.85209
45.09986,-114.84137
45.1012,-114.8483
45.08534,-114.83646
45.0866,-114.84215
45.09027,-114.83981
45.09152,-114.84547
45.09281,-114.85131
45.09515,-114.84293
45.09651,-114.8491
45.10019,-114.84679
45.08846,-114.84692
45.09908,-114.84235
45.09995,-114.83185
45.10125,-114.83717
45.10129,-114.8287
45.10691,-114.83131
45.10697,-114.82414
45.10705,-114.81557
45.10822,-114.83408
45.10828,-114.82014
45.10832,-114.81033
45.11373,-114.8469
45.11386,-114.83253
45.11396,-114.8207
45.11516,-114.83619
45.10249,-114.83824
45.10446,-114.81436
45.10545,-114.81359
45.10603,-114.82134
45.107,-114.82066
45.10839,-114.81319
45.10941,-114.81255
45.1096,-114.8371
45.10999,-114.82029
45.11053,-114.83676
45.11097,-114.8197
45.11196,-114.82898
45.11283,-114.82821
45.11371,-114.83669
45.11457,-114.83614
45.10038,-114.78556
45.10042,-114.77975
45.10149,-114.78308
45.10152,-114.7754
45.10713,-114.80621
45.10722,-114.79601
45.1073,-114.78696
45.10737,-114.77859
45.10836,-114.80125
45.1084,-114.79085
45.10843,-114.78253
45.10851,-114.76416
45.11404,-114.81144
45.11411,-114.80324
45.11525,-114.81516
45.11528,-114.80716
45.12094,-114.81802
45.12102,-114.80752
45.1222,-114.81181
45.12224,-114.80213
45.45129,-115.00834
45.45133,-115.001
45.45628,-115.00947
45.45634,-115.00333
45.45829,-115.00796
45.49117,-115.0285
45.49122,-115.02179
45.49127,-115.01546
45.49818,-115.02858
45.5028,-115.02581
45.50291,-115.01689
45.5052,-115.02713
45.50527,-115.01797
45.50534,-115.00914
45.5099,-115.01923
45.51007,-115.0057
45.10042,-114.7778
45.10158,-114.77692
45.10213,-114.78539
45.10318,-114.78419
45.10426,-114.77615
45.10587,-114.78333
45.107,-114.78252
45.10756,-114.79082
45.1078,-114.80525
45.10867,-114.79012
45.11065,-114.80455
45.11169,-114.80387
45.11237,-114.8122
45.11312,-114.79688
45.11338,-114.81158
45.11422,-114.79634
45.11462,-114.8035
45.11565,-114.80287
45.11632,-114.8111
45.1172,-114.79629
45.11731,-114.81044
45.11789,-114.81806
45.11828,-114.79581
45.11884,-114.81739
45.1203,-114.81013
45.12124,-114.8093
45.12183,-114.8169
45.45525,-115.00936
45.45908,-115.00803
45.46293,-115.00678
45.48315,-115.00506
45.48449,-115.01126
45.48523,-115.01012
45.488,-115.00841
45.48874,-115.00738
45.48947,-115.0152
45.49025,-115.01416
45.49107,-115.0226
45.49189,-115.02158
45.49304,-115.01268
45.49469,-115.02033
45.49548,-115.0192
45.49604,-115.02656
45.49688,-115.02555
45.49817,-115.01733
45.49891,-115.01614
45.49958,-115.02384
45.50038,-115.02277
45.50092,-115.03004
45.50159,-115.01406
45.50172,-115.02883
45.50308,-115.02101
45.50387,-115.01995
45.50444,-115.02731
45.50529,-115.0264
45.50752,-115.01781
45.09932,-114.78288
45.10048,-114.77808
45.11348,-114.8026
45.11531,-114.79499
45.11797,-114.80358
45.12245,-114.8046
45.12539,-114.81203
45.44953,-115.00935
45.4542,-115.00694
45.4866,-115.01025
45.48939,-115.01826
45.49055,-115.0135
45.49358,-115.02055
45.49742,-115.02424
45.4987,-115.019
45.50249,-115.0229
45.50507,-115.01237
45.50786,-115.02033
45.5094,-115.01402
41.6383,-87.13258
41.64,-87.13927
41.63701,-87.13142
41.63994,-87.13853
41.63988,-87.13525
42.29221,-83.16469
42.29774,-83.17207
42.29314,-83.16451
42.2946,-83.16952
42.29605,-83.17452
42.29698,-83.16946
42.29705,-83.1566
42.29789,-83.15157
42.29846,-83.17446
42.29939,-83.15662
42.30143,-83.17168
42.30476,-83.15376
42.28962,-83.1652
42.29665,-83.16763
42.64084,-117.81813
42.64318,-117.82964
42.64439,-117.81676
42.64557,-117.82249
42.64674,-117.82828
42.6503,-117.8269
42.63552,-117.812
42.63942,-117.81914
42.64064,-117.8148
42.64454,-117.82197
42.64577,-117.81757
42.64686,-117.82008
44.60358,-120.77155
44.60439,-120.77642
44.6052,-120.78124
44.60601,-120.78602
44.60603,-120.76561
44.6068,-120.79078
44.60685,-120.77046
44.60765,-120.77532
44.60847,-120.78014
44.60873,-120.76228
44.60927,-120.78496
44.60955,-120.76713
44.61007,-120.78971
44.61037,-120.77198
44.61087,-120.79446
44.61119,-120.77682
44.612,-120.7612
44.61201,-120.78165
44.61281,-120.78643
44.61282,-120.76605
44.61361,-120.79121
44.61364,-120.7709
44.61445,-120.77575
44.61527,-120.78057
44.61608,-120.78538
44.61608,-120.76498
44.6169,-120.76984
44.61772,-120.77468
44.61853,-120.7795
44.62016,-120.76877
44.62098,-120.77362
44.60523,-120.75838
44.60627,-120.77608
44.61236,-120.75624
44.61649,-120.76386
44.61808,-120.75867
44.61441,-120.79595
44.61688,-120.79015
44.61768,-120.79491
44.62095,-120.79386
44.62175,-120.79863
44.62256,-120.80342
44.62336,-120.8082
44.62422,-120.79282
44.62663,-120.80715
42.36996,-123.28355
42.37251,-123.27795
42.37323,-123.28258
42.37394,-123.28722
42.37465,-123.29188
42.37576,-123.27696
42.37647,-123.28159
42.37761,-123.26678
42.37831,-123.27139
42.37902,-123.27598
42.37973,-123.28064
42.38076,-123.26328
42.38146,-123.26791
42.38216,-123.27251
42.38287,-123.27713
44.6197,-120.7534
44.62219,-120.76638
44.63237,-120.79267
44.63391,-120.79149
48.88537,-117.98325
48.88635,-117.9887
48.88963,-117.98737
48.89062,-117.99284
48.89159,-117.99831
48.8939,-117.99149
48.89622,-117.98481
48.89718,-117.99017
48.89815,-117.99554
48.89952,-117.98357
48.90142,-117.99417
48.90613,-117.98108
