latitude,longitude,closepoint,north,south,east,west
38.898528,-90.121266,1,38.98846016059187,38.80859583940813,-90.00556400521064,-90.23696799478938
41.361557,-85.075974,1,41.45148916059187,41.27162483940812,-84.95598732171459,-85.19596067828543
32.244288,-101.461699,1,32.33422016059187,32.154355839408126,-101.35526333585057,-101.56813466414943
35.931893,-89.917459,1,36.021825160591874,35.84196083940814,-89.80626614007126,-90.02865185992873
33.742266,-90.725248,1,33.83219816059188,33.65233383940813,-90.61698379108994,-90.83351220891005
33.884012,-91.486732,1,33.97394416059187,33.794079839408134,-91.37828764079092,-91.59517635920908
39.627735,-84.368267,1,39.71766716059188,39.53780283940812,-84.2513511131065,-84.48518288689351
33.446193,-90.648584,1,33.53612516059187,33.35626083940813,-90.54069203320307,-90.75647596679691
31.095176,-97.758838,1,31.18510816059188,31.00524383940813,-97.6537156840704,-97.86396031592959
39.482219,-84.364064,1,39.572151160591865,39.39228683940812,-84.24739389236592,-84.48073410763406
40.16725,-79.889374,1,40.25718216059188,40.07731783940814,-79.77153108111,-80.00721691889002
29.820542,-94.830514,1,29.910474160591875,29.730609839408128,-94.7267629113094,-94.93426508869061
35.69467,-89.970259,1,35.78460216059188,35.60473783940814,-89.85939893570708,-90.08111906429292
40.45932,-79.960164,1,40.54925216059188,40.36938783940814,-79.8418086638773,-80.07851933612272
38.636376,-90.341418,1,38.72630816059186,38.54644383940812,-90.22614173001395,-90.45669426998604
41.477516,-87.061615,1,41.56744816059188,41.38758383940813,-86.94141321404182,-87.18181678595819
