latitude,longitude
34.19382,-118.12116
34.16707,-118.07844
34.16372,-118.09623
34.18194,-118.06078
34.17827,-118.08038
34.17481,-118.09888
34.17153,-118.11635
34.19342,-118.06107
34.18978,-118.08064
34.18599,-118.10104
34.20112,-118.08173
34.1973,-118.10242
34.19329,-118.06671
34.18937,-118.08695
34.18554,-118.10674
34.2007,-118.08827
34.19686,-118.1082
34.17368,-118.06609
34.16964,-118.09949
34.16807,-118.08897
34.22358,-118.09869
34.21956,-118.13214
34.21799,-118.1216
34.21642,-118.11107
34.21486,-118.10056
34.2133,-118.09009
34.21174,-118.07959
34.21016,-118.06906
34.21084,-118.13404
34.20927,-118.12351
34.20771,-118.11298
34.20614,-118.10247
34.20458,-118.09198
34.20301,-118.08145
34.20144,-118.07093
34.19987,-118.06043
34.20211,-118.13593
34.20055,-118.1254
34.19898,-118.11488
34.19742,-118.10438
34.19271,-118.07281
34.19115,-118.06231
34.18958,-118.05181
34.18801,-118.04132
34.19181,-118.12728
34.19025,-118.11677
34.18868,-118.10626
34.18085,-118.0537
34.17928,-118.04321
34.18151,-118.11864
34.17211,-118.05558
34.19582,-118.11906
34.19294,-118.17027
34.18786,-118.1461
34.18269,-118.1215
34.2098,-118.0657
34.20378,-118.03768
34.21622,-118.15913
34.21126,-118.13605
34.19641,-118.06715
34.20308,-118.16135
34.19792,-118.13746
34.19263,-118.113
34.19012,-118.16444
34.18487,-118.14023
34.1795,-118.11549
34.19983,-118.0731
34.19444,-118.04725
34.2059,-118.16722
34.20089,-118.14326
34.1725,-118.01847
34.18236,-118.01994
34.18007,-118.03277
34.19752,-118.04849
34.19521,-118.06146
34.18513,-118.11813
34.18274,-118.13155
34.18034,-118.145
34.17793,-118.15847
34.20734,-118.05016
34.20509,-118.06284
34.20256,-118.07711
34.19494,-118.12013
34.19253,-118.13373
34.19011,-118.14733
34.1877,-118.16087
34.21222,-118.07984
34.20985,-118.09328
34.20233,-118.13584
34.19989,-118.14963
34.19746,-118.16331
34.20969,-118.15176
34.20726,-118.16555
